team_shots,opponent_shots,opponent,opponent_against_shots_avg,opponent_for_shots_avg
18,8,Athletic Club,12.578947368421053,10.157894736842104
11,9,FC Barcelona,11.421052631578947,13.368421052631579
16,15,Sevilla,14.210526315789474,11.0
13,5,Atlético Madrid,12.105263157894736,11.210526315789474
12,13,Granada,13.736842105263158,8.842105263157896
15,11,Girona,16.157894736842106,12.421052631578947
11,6,Las Palmas,13.473684210526315,10.052631578947368
9,17,Real Sociedad,11.052631578947368,11.31578947368421
10,10,Rayo Vallecano,12.578947368421053,10.789473684210526
14,4,Almería,18.210526315789473,9.421052631578947
13,10,Getafe,13.631578947368421,10.842105263157896
18,6,Celta de Vigo,15.421052631578947,10.052631578947368
11,5,Cádiz,16.210526315789473,9.263157894736842
15,10,Deportivo Alavés,13.473684210526315,11.842105263157896
10,17,Real Madrid,11.842105263157896,13.578947368421053
13,4,Valencia,11.789473684210526,8.473684210526315
12,10,Real Betis,14.210526315789474,10.578947368421053
10,10,Mallorca,14.421052631578947,10.473684210526315
12,11,Villarreal,17.263157894736842,9.263157894736842
